season,league_id,week,bracket,team_a,team_a_id,score_a,team_b,team_b_id,score_b,winner,source_url
2016,79234,1,regular,Wet Serapas,1,156.3,bigballs,2,114.4,Wet Serapas,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=1
2016,79234,1,regular,Deepest,3,131.66,Good Strongs,7,125.96,Deepest,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=1
2016,79234,1,regular,Dezbians,4,147.42,FFAmuseBouche,6,178.6,FFAmuseBouche,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=1
2016,79234,1,regular,Vaqueros,8,177.9,DUGASM,5,169.78,Vaqueros,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=1
2016,79234,2,regular,Wet Serapas,1,146.12,Deepest,3,156.72,Deepest,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=2
2016,79234,2,regular,Dezbians,4,170.68,Good Strongs,7,147.94,Dezbians,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=2
2016,79234,2,regular,DUGASM,5,150.3,FFAmuseBouche,6,141.0,DUGASM,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=2
2016,79234,2,regular,Vaqueros,8,103.94,bigballs,2,143.74,bigballs,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=2
2016,79234,3,regular,Wet Serapas,1,117.74,Dezbians,4,143.8,Dezbians,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=3
2016,79234,3,regular,bigballs,2,177.34,Deepest,3,104.24,bigballs,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=3
2016,79234,3,regular,DUGASM,5,128.54,Good Strongs,7,158.88,Good Strongs,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=3
2016,79234,3,regular,Vaqueros,8,167.2,FFAmuseBouche,6,142.3,Vaqueros,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=3
2016,79234,4,regular,Wet Serapas,1,128.18,DUGASM,5,112.34,Wet Serapas,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=4
2016,79234,4,regular,bigballs,2,135.1,Dezbians,4,174.96,Dezbians,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=4
2016,79234,4,regular,FFAmuseBouche,6,116.86,Good Strongs,7,162.8,Good Strongs,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=4
2016,79234,4,regular,Vaqueros,8,113.04,Deepest,3,129.3,Deepest,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=4
2016,79234,5,regular,Wet Serapas,1,151.22,FFAmuseBouche,6,131.36,Wet Serapas,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=5
2016,79234,5,regular,bigballs,2,169.84,DUGASM,5,142.64,bigballs,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=5
2016,79234,5,regular,Deepest,3,118.34,Dezbians,4,145.74,Dezbians,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=5
2016,79234,5,regular,Vaqueros,8,134.12,Good Strongs,7,137.64,Good Strongs,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=5
2016,79234,6,regular,Wet Serapas,1,150.76,Good Strongs,7,109.36,Wet Serapas,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=6
2016,79234,6,regular,bigballs,2,122.22,FFAmuseBouche,6,178.66,FFAmuseBouche,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=6
2016,79234,6,regular,Deepest,3,141.04,DUGASM,5,98.56,Deepest,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=6
2016,79234,6,regular,Vaqueros,8,130.3,Dezbians,4,177.96,Dezbians,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=6
2016,79234,7,regular,bigballs,2,122.46,Good Strongs,7,135.74,Good Strongs,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=7
2016,79234,7,regular,Deepest,3,103.4,FFAmuseBouche,6,176.78,FFAmuseBouche,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=7
2016,79234,7,regular,Dezbians,4,162.02,DUGASM,5,122.56,Dezbians,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=7
2016,79234,7,regular,Vaqueros,8,192.1,Wet Serapas,1,101.48,Vaqueros,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=7
2016,79234,8,regular,Wet Serapas,1,190.02,bigballs,2,148.5,Wet Serapas,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=8
2016,79234,8,regular,Deepest,3,132.38,Good Strongs,7,113.74,Deepest,https://football.fantasysports.yahoo.com/2016/f1/79234?module=standings&lhst=matchups&matchup_week=8
