position,player,nfl,opponent,projection,pct_rostered,status_or_notes
QB,Jacoby Brissett,Ari,@ SF,15.82,8%,available
QB,Aaron Rodgers,Pit,vs Cin,15.21,10%,available
QB,Geno Smith,NYJ,@ Det,15.07,5%,available
QB,Jameis Winston,NYG,vs Ten,,,available; listed after top 3
QB,Deshaun Watson,Cle,vs Car,,,available; listed after top 3
RB,Tyjae Spears,Ten,@ NYG,6.91,33%,available
RB,Alvin Kamara,NO,vs LV,6.47,29%,available
RB,Jonah Coleman,Den,vs LAR,6.01,28%,available
RB,Keaton Mitchell,LAC,@ Buf,5.82,34%,available
RB,Braelon Allen,NYJ,@ Det,5.20,16%,available
RB,Justice Hill,Bal,@ Dal,5.01,3%,available
RB,Chris Brooks,GB,vs Atl,4.82,4%,available
RB,George Holani,Sea,@ Was,4.82,8%,available
WR,Josh Downs,Ind,vs Hou,9.87,83%,available
WR,Khalil Shakir,Buf,vs LAC,8.61,46%,available
WR,Devaughn Vele,NO,vs LV,8.55,51%,available
WR,Adonai Mitchell,NYJ,@ Det,8.33,17%,available
WR,Jordan Addison,Min,@ TB,7.66,78%,available
WR,Ryan Flournoy,Dal,vs Bal,7.53,7%,available
WR,Kayshon Boutte,Hou,@ Ind,7.30,28%,available
WR,Jakobi Meyers,Jax,vs NE,7.18,49%,available
WR,Wan'Dale Robinson,Ten,@ NYG,7.14,57%,available
WR,Dontayvion Wicks,Phi,@ Chi,7.13,29%,available
WR,Rashid Shaheed,Sea,@ Was,6.96,39%,available
TE,Dalton Schultz,Hou,@ Ind,8.81,57%,available
TE,Hunter Henry,NE,@ Jax,8.57,55%,available
TE,Jake Ferguson,Dal,vs Bal,7.81,75%,available
TE,Brenton Strange,Jax,vs NE,6.93,31%,available
TE,Pat Freiermuth,Pit,vs Cin,6.90,13%,available
TE,T.J. Hockenson,Min,@ TB,6.05,29%,available
TE,Oronde Gadsden,LAC,@ Buf,5.88,7%,available
TE,AJ Barner,Sea,@ Was,5.84,14%,available
K,Harrison Butker,KC,@ Mia,8.90,29%,available
K,Trey Smack,GB,vs Atl,8.63,20%,available
K,Tyler Bass,Buf,vs LAC,8.62,18%,available
K,Daniel Carlson,NO,vs LV,8.24,1%,available
K,Harrison Mevis,LAR,@ Den,8.16,62%,available
K,Spencer Shrader,Ind,vs Hou,8.08,10%,available
K,Will Reichard,Min,@ TB,7.91,59%,available
K,Evan McPherson,Cin,@ Pit,7.74,59%,available
K,Jake Elliott,Phi,@ Chi,7.63,8%,available
K,Ryan Fitzgerald,Car,@ Cle,7.63,1%,available
DEF,Packers,GB,vs Atl,8.12,24%,available
DEF,Giants,NYG,vs Ten,8.08,5%,available
DEF,Panthers,Car,@ Cle,8.04,8%,available
DEF,Bengals,Cin,@ Pit,7.51,7%,available
DEF,Bills,Buf,vs LAC,7.26,15%,available
DEF,Raiders,LV,@ NO,6.71,5%,available
DEF,Vikings,Min,@ TB,6.67,64%,available
DEF,Saints,NO,vs LV,6.67,1%,available
DEF,Jaguars,Jax,vs NE,6.24,60%,available
DEF,Lions,Det,vs NYJ,6.09,33%,available
DEF,Commanders,Was,vs Sea,5.95,1%,available
DEF,Steelers,Pit,vs Cin,5.93,73%,available
